Tag,Site_Code,Deploy_Site,Deploy_Latitude,Deploy_Longitude,Species_Code,Common_Name,Species_Name,Sex,DeployDate,FieldYear
1686,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,12/18/2011,2012
1701,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,12/18/2011,2012
1704,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,12/18/2011,2012
1733,COPA,Copacabana,-62.178,-58.446,BRSK,Brown skua,Stercorarius antarcticus,1,12/18/2011,2012
1759,COPA,Copacabana,-62.178,-58.446,BRSK,Brown skua,Stercorarius antarcticus,1,12/18/2011,2012
1726,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,12/19/2011,2012
1727,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,12/19/2011,2012
1729,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,12/19/2011,2012
1740,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,12/19/2011,2012
1703,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,12/27/2011,2012
1745,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,12/27/2011,2012
1748,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,12/28/2011,2012
1758,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,1/3/2012,2012
1763,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,1/3/2012,2012
1764,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,1/3/2012,2012
1706,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,1/4/2012,2012
1715,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,1/4/2012,2012
1735,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,1/4/2012,2012
1751,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,1/4/2012,2012
1754,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,1/4/2012,2012
1757,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,1/4/2012,2012
1760,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,1/4/2012,2012
1761,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,1/4/2012,2012
1910,COPA,Copacabana,-62.178,-58.446,BRSK,Brown skua,Stercorarius antarcticus,2,1/21/2012,2012
1960,COPA,Copacabana,-62.178,-58.446,BRSK,Brown skua,Stercorarius antarcticus,2,1/21/2012,2012
2203,COPA,Copacabana,-62.178,-58.446,BRSK,Brown skua,Stercorarius antarcticus,1,1/21/2012,2012
1903,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,1/23/2012,2012
1933,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,2,1/23/2012,2012
1947,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,1/23/2012,2012
1965,COPA,Copacabana,-62.178,-58.446,ADPE,Adelie penguin,Pygoscelis adelieae,1,1/23/2012,2012
1884,COPA,Copacabana,-62.178,-58.446,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,1/26/2012,2012
1885,COPA,Copacabana,-62.178,-58.446,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,1/26/2012,2012
1886,COPA,Copacabana,-62.178,-58.446,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,1/26/2012,2012
1893,COPA,Copacabana,-62.178,-58.446,CHPE,Chinstrap penguin,Pygoscelis antarcticus,1,1/26/2012,2012
1895,COPA,Copacabana,-62.178,-58.446,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,1/26/2012,2012
1898,COPA,Copacabana,-62.178,-58.446,CHPE,Chinstrap penguin,Pygoscelis antarcticus,2,1/26/2012,2012
